Todos los mensajes del registro de eventos.
Fecha:	2023-07-26 11:07:27
Nombre de sistema:	44-52645
Nombre de controlador:	192.168.133.1
ID de controlador
	44-52645

RobotWare:	5.15.2005
Clave:	8sck58u9TAckcgmgkcTk6cP
Opciones:	
	RW Control module key
	RobotWare OS and English
	644-3 Spanish
		645-1 French
		709-x DeviceNet
			709-1 Master/Slave Single
			840-2 Profibus Fieldbus Adapter
			605-1 Multiple Axis Positioner
			609-1 Fixed Position Events
			618-1 Fieldbus Command Interface
			620-1 File and Serial Channel Handling
			621-1 Logical Cross Connections
			622-1 Analog Signal Interrupt
			623-1 Multitasking
			626-1 Advanced RAPID
			631-1 Electronically Linked Motors

DriveModule1
Clave:	nB7t92OQZI66v
Opciones:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 4400 Type B
			4400/60 Type B
			Add axes IRB/drive module 4400/940
				R2C2 Standard
					No drive in pos Y2



Mensajes de registro de Común
SeqNo     	Tipo	Categoría           	Código  	Título                                  	Fecha               	Descripción	Argumentos
24760540  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:55:52 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760541  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:55:52 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760542  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:55:52 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760543  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:55:52 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760544  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 19:57:31 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760545  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:57:31 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760546  	I   	Operativo           	10002   	Puntero de programa restablecido        	2023-07-24 19:57:36 	El puntero de programa de la tarea T_ROB1 se ha restablecido.	{args: "1", "0", "T_ROB1"}
24760547  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:57:38 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760548  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:57:38 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760549  	I   	Operativo           	10151   	Programa iniciado                       	2023-07-24 19:57:38 	La ejecución de la tarea T_ROB1 ha empezado por la primera instrucción de la rutina de entrada de la tarea. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760550  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:57:49 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /MainModule/main/Rearme/25	{args: "T_ROB1", "Tarjeta_1", "/MainModule/main/Rearme/25", "ERR_NORUNUNIT"}
24760551  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:57:49 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /MainModule/main/Rearme/25	{args: "T_ROB1", "Tarjeta_1", "/MainModule/main/Rearme/25", "ERR_NORUNUNIT"}
24760552  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:57:49 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760553  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:57:49 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760554  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:57:49 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760555  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:57:54 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760556  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:57:54 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760557  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:57:54 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760558  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:57:54 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760559  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:03 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760560  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:03 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760561  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:03 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760562  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:03 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760563  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:03 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760564  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:10 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760565  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:10 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760566  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:10 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760567  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:10 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760568  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:10 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760569  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:10 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760570  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:10 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760571  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:10 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760572  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:10 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760573  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:14 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760574  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:14 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760575  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:14 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760576  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:14 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760577  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:14 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760578  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:14 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760579  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:14 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760580  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:14 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760581  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:14 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760582  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:16 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760583  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:16 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760584  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:16 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760585  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:16 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760586  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:16 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760587  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:16 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760588  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:16 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760589  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:16 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760590  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:16 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760591  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:19 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760592  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:19 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760593  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:19 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760594  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:19 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760595  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:19 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760596  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:19 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760597  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:19 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760598  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:19 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760599  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:19 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760600  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:19 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760601  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:19 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760602  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:19 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760603  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:19 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760604  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:19 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760605  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:19 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760606  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:19 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760607  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:19 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760608  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:19 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760609  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:20 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760610  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:20 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760611  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:20 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760612  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:20 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
24760613  	W   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:20 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760614  	E   	Programa            	41555   	No hay comunicación con la unidad       	2023-07-24 19:58:20 	Tarea: T_ROB1Se ha perdido el contacto con la unidad Tarjeta_1. Ref. de programa /LOGICA/R_INIT_SIG/Reset/81	{args: "T_ROB1", "Tarjeta_1", "/LOGICA/R_INIT_SIG/Reset/81", "ERR_NORUNUNIT"}
24760615  	E   	Programa            	40228   	Error de ejecución                      	2023-07-24 19:58:20 	La ejecución de la tarea T_ROB1 ha sido detenida por un error de tiempo de ejecución 41555. 	{args: "T_ROB1", "41555"}
24760616  	I   	Operativo           	10020   	Estado de error de ejecución            	2023-07-24 19:58:20 	La ejecución del programa de la tarea T_ROB1 se ha detenido a causa de un error espontáneo.	{args: "1", "T_ROB1"}
24760617  	I   	Operativo           	10126   	Programa detenido                       	2023-07-24 19:58:20 	La tarea T_ROB1 se ha detenido. Se debe a que se ha producido un error.	{args: "1", "T_ROB1"}
24760618  	I   	Operativo           	10021   	Restablecimiento de error de ejecución  	2023-07-24 19:58:21 	 La ejecución del programa de la tarea T_ROB1 ha abandonado el estado de error espontáneo. 	{args: "1", "T_ROB1"}
24760619  	I   	Operativo           	10052   	Inicio de recuperación                  	2023-07-24 19:58:21 	El movimiento de recuperación se ha iniciado.	{args: "0"}
24760620  	I   	Operativo           	10053   	Recuperación ejecutada                  	2023-07-24 19:58:21 	El movimiento de recuperación se ha ejecutado en su totalidad.	{args: "0"}
24760621  	I   	Operativo           	10156   	Programa reiniciado                     	2023-07-24 19:58:21 	La ejecución de la tarea T_ROB1 se ha reanudado en el mismo punto en el que se detuvo anteriormente. El origen es un cliente externo.	{args: "1", "T_ROB1"}
